,pvalue,weighted_pvalue,log2FoldChange
Boll,4.30E-13,3.60E-13,-3.663423071
Irf4,4.34E-13,3.97E-13,2.180632514
Tbc1d30,4.52E-13,5.76E-13,-2.184356868
Fam241a,4.68E-13,4.45E-13,-1.725722163
Qser1,4.72E-13,4.85E-13,-3.551785949
Cdc14b,4.91E-13,4.84E-13,-1.377773047
4930402H24Rik,4.93E-13,4.80E-13,1.252844981
Evi2a,5.06E-13,4.62E-13,1.341652177
Cxxc5,5.15E-13,5.05E-13,-3.276658697
Lbp,5.54E-13,7.06E-13,-4.151082763
Fcgrt,6.65E-13,8.58E-13,-2.214731429
Acoxl,7.40E-13,9.40E-13,-2.365021581
Bhlhe40,7.84E-13,4.86E-13,2.690189611
Chac1,7.94E-13,6.64E-13,3.201701126
Ebpl,8.51E-13,7.79E-13,1.318063026
Npdc1,8.54E-13,1.08E-12,1.852964753
Vps54,8.63E-13,5.28E-13,1.148392467
Trbv13-3,9.29E-13,9.20E-13,-1.413957697
Nfe2l1,1.05E-12,9.98E-13,1.125700616
Kat2a,1.09E-12,1.01E-12,-0.965170401
Tcrg-C1,1.10E-12,1.20E-12,2.909804256
Arhgap15,1.24E-12,7.67E-13,-0.616805902
Zdhhc14,1.48E-12,1.61E-12,-3.623226316
Gmfg,1.50E-12,1.75E-12,-0.899066448
Ifitm1,1.56E-12,1.49E-12,6.592747661
Uck2,1.61E-12,1.87E-12,-0.860666107
Adgrb2,1.69E-12,1.42E-12,-2.983958003
4933412E12Rik,1.76E-12,1.74E-12,-1.579121938
Cpq,1.85E-12,1.90E-12,-2.218629618
Nedd9,1.87E-12,1.18E-12,0.895598321
Zscan10,1.90E-12,1.81E-12,-3.782618047
5430427O19Rik,2.00E-12,1.95E-12,1.746744249
Fas,2.01E-12,1.96E-12,-1.079463401
Wdr74,2.19E-12,2.00E-12,-0.817557681
N4bp2,2.29E-12,2.24E-12,-1.602019846
Ttc39c,2.32E-12,2.21E-12,3.471169607
Carmil2,2.35E-12,1.44E-12,-1.272378395
Inpp5d,2.36E-12,2.05E-12,0.704278613
2210011C24Rik,2.41E-12,2.47E-12,2.925315657
Calca,2.43E-12,2.49E-12,3.576800338
Izumo1r,2.54E-12,2.50E-12,-3.192648624
Rcsd1,2.87E-12,1.78E-12,-1.043907769
Card19,2.99E-12,2.34E-12,1.111176245
Btbd11,3.03E-12,2.89E-12,-1.415689793
Cyp51,3.09E-12,2.33E-12,1.667336809
Aopep,3.21E-12,3.04E-12,1.366232694
Wdr46,3.25E-12,2.97E-12,-0.878226393
Hnrnpll,3.36E-12,3.21E-12,1.357101912
Aplp2,3.41E-12,2.16E-12,1.058467041
Zfp365,3.49E-12,3.58E-12,-3.46739007
Trub1,3.82E-12,3.75E-12,-1.374286159
Rpl15,4.12E-12,4.78E-12,-1.079764442
Dctd,4.33E-12,4.28E-12,-1.854508201
Ifnar2,4.40E-12,4.19E-12,0.940124496
Usp28,4.51E-12,4.29E-12,-2.408522521
Rps19,4.55E-12,2.81E-12,-1.2792723
Wbp1,4.56E-12,4.18E-12,0.992037458
Ahnak,4.59E-12,2.91E-12,2.337220064
Tmsb10,4.61E-12,2.92E-12,-1.418141222
Msrb3,4.71E-12,1.29E-11,7.787210838
Prkd3,4.75E-12,4.51E-12,0.956600588
Crybg2,4.78E-12,6.06E-12,1.967624227
Esyt1,4.81E-12,4.17E-12,0.921902355
Evl,4.85E-12,3.01E-12,-0.829471803
Chil5,5.93E-12,6.47E-12,-2.838065533
Csf1,6.06E-12,5.54E-12,5.840585305
Dock5,6.08E-12,4.77E-12,2.106950443
St3gal4,6.62E-12,4.99E-12,1.069387662
Prkcz,7.21E-12,5.66E-12,1.113054817
Tnfrsf12a,7.24E-12,7.17E-12,-1.904014662
Rpl13,7.52E-12,4.66E-12,-1.179897844
Prdm1,8.01E-12,7.33E-12,2.116048847
Ppp1r13b,8.17E-12,5.05E-12,-1.179676251
Msl3l2,9.35E-12,9.23E-12,-1.897514347
Eya2,9.41E-12,7.10E-12,1.240622762
Ech1,9.52E-12,5.90E-12,1.022544204
Nkg7,9.87E-12,6.12E-12,1.087285621
Ap1m2,1.05E-11,1.04E-11,-3.358772506
Dpysl2,1.08E-11,1.39E-11,0.868716405
Dennd5a,1.12E-11,1.05E-11,1.699700067
Arhgef11,1.14E-11,1.13E-11,-1.394180295
Snx4,1.18E-11,7.31E-12,-0.865529349
Gm43672,1.18E-11,1.17E-11,1.743103068
Lat2,1.19E-11,1.18E-11,2.983398567
Rab3d,1.23E-11,9.61E-12,1.413999699
Hip1r,1.30E-11,8.01E-12,1.569979268
Bcl9l,1.40E-11,1.28E-11,-1.219563687
Apol9a,1.43E-11,1.41E-11,4.203593295
Abcb10,1.57E-11,1.53E-11,1.629465808
Slc6a19,1.79E-11,2.31E-11,-4.532261715
Wnt10b,1.87E-11,2.59E-11,4.414152375
Slc7a5,1.90E-11,1.65E-11,1.726873454
Prmt2,1.93E-11,1.18E-11,1.419929205
Anapc5,2.15E-11,1.37E-11,-0.574777924
Slc25a27,2.22E-11,2.19E-11,-2.31730867
Gpsm2,2.28E-11,2.25E-11,-1.479541933
Ralgds,2.28E-11,2.17E-11,1.983337254
